,size,Category,Assembly_Type,Sequencing_Kit,Filtering,Polishing,Isolate
0,146304.0,HLF,Hybrid,Ligation,Filtered,Pilon,0012-2L1
1,133408.0,HLUF,Hybrid,Ligation,Unfiltered,Pilon,0012-2L1
2,154828.0,HRF,Hybrid,Ligation,Filtered,Pilon,0012-2L1
3,133389.0,HRUF,Hybrid,Ligation,Unfiltered,Pilon,0012-2L1
4,146005.0,LLF,Long_Read,Ligation,Filtered,Unpolished,0012-2L1
5,146385.0,LLFM,Long_Read,Ligation,Filtered,Medaka,0012-2L1
6,146370.0,LLFMP,Long_Read,Ligation,Filtered,Medaka_Pilon,0012-2L1
7,145999.0,LLUF,Long_Read,Ligation,Unfiltered,Unpolished,0012-2L1
8,146384.0,LLUFM,Long_Read,Ligation,Unfiltered,Medaka,0012-2L1
9,146370.0,LLUFMP,Long_Read,Ligation,Unfiltered,Medaka_Pilon,0012-2L1
10,154458.0,LRF,Long_Read,Rapid,Filtered,Unpolished,0012-2L1
11,155011.0,LRFM,Long_Read,Rapid,Filtered,Medaka,0012-2L1
12,154982.0,LRFMP,Long_Read,Rapid,Filtered,Medaka_Pilon,0012-2L1
13,132880.0,LRUF,Long_Read,Rapid,Unfiltered,Unpolished,0012-2L1
14,133440.0,LRUFM,Long_Read,Rapid,Unfiltered,Medaka,0012-2L1
15,133406.0,LRUFMP,Long_Read,Rapid,Unfiltered,Medaka_Pilon,0012-2L1
16,33884.0,PP,PP,PP,Plasmid,Plasmid,0012-2L1
17,33786.666666666664,HLF,Hybrid,Ligation,Filtered,Pilon,0012-C5
18,33786.666666666664,HLUF,Hybrid,Ligation,Unfiltered,Pilon,0012-C5
19,33786.666666666664,HRF,Hybrid,Rapid,Filtered,Pilon,0012-C5
20,33786.666666666664,HRUF,Hybrid,Rapid,Unfiltered,Pilon,0012-C5
21,49474.0,LLF,Long_Read,Ligation,Filtered,Unpolished,0012-C5
22,49588.0,LLFM,Long_Read,Ligation,Filtered,Medaka,0012-C5
23,49617.5,LLFMP,Long_Read,Ligation,Filtered,Medaka_Pilon,0012-C5
24,49471.5,LLUF,Long_Read,Ligation,Unfiltered,Unpolished,0012-C5
25,49586.0,LLUFM,Long_Read,Ligation,Unfiltered,Medaka,0012-C5
26,49623.5,LLUFMP,Long_Read,Ligation,Unfiltered,Medaka_Pilon,0012-C5
