"Isolate_Pathname","Category","Assembly_Type","Sequencing_Kit","Filtering","Polishing","sample_id","num_contigs","size","gc","md5","rep_type(s)","rep_type_accession(s)","relaxase_type(s)","relaxase_type_accession(s)","mpf_type","mpf_type_accession(s)","orit_type(s)","orit_accession(s)","predicted_mobility","mash_nearest_neighbor","mash_neighbor_distance","mash_neighbor_identification","primary_cluster_id","secondary_cluster_id","predicted_host_range_overall_rank","predicted_host_range_overall_name","observed_host_range_ncbi_rank","observed_host_range_ncbi_name","reported_host_range_lit_rank","reported_host_range_lit_name","associated_pmid(s)"
"EC-A-0012-C5-H-CuP-CeN_HLF_mobsuite","HLF","Hybrid","Ligation","Filtered","Pilon","AB443",1,5569,46.7947566888131,"a3124de95c6e679f37a698ac6b748af8","rep_cluster_2350","CP041342_00001","MOBP","NC_019076_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.000830728,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_HLF_mobsuite","HLF","Hybrid","Ligation","Filtered","Pilon","AC748",1,2089,47.1996170416467,"5d6768eb0b4f2611fcd811135fed24b3","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.000483446,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_HLF_mobsuite","HLF","Hybrid","Ligation","Filtered","Pilon","AA329",1,93702,52.0341081300292,"a4bb9aa8cc9c178912e1bed5a41628c4","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF","NC_017627_00068","MPF_F","NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_014615_00033,NC_008460_00107,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0326168,"Escherichia coli O26:H11 str. 11368","AA329","-","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_HLUF_mobsuite","HLUF","Hybrid","Ligation","Unfiltered","Pilon","AA329",1,93702,52.0341081300292,"76d495ed797dfefe5227938a0d028846","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF","NC_017627_00068","MPF_F","NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_014615_00033,NC_008460_00107,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0325113,"Escherichia coli O26:H11 str. 11368","AA329","-","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_HLUF_mobsuite","HLUF","Hybrid","Ligation","Unfiltered","Pilon","AB443",1,5569,46.7947566888131,"172dd7594e0aa9cf025c097822a587c2","rep_cluster_2350","CP041342_00001","MOBP","NC_022662_00003","-","-","MOBP","MF083142","mobilizable","CP035351",0.000830728,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_HLUF_mobsuite","HLUF","Hybrid","Ligation","Unfiltered","Pilon","AC748",1,2089,47.1996170416467,"f9f449f47ae5951de64a47c1d26a698b","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.000483446,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_HRF_mobsuite","HRF","Hybrid","Rapid","Filtered","Pilon","AA329",1,93702,52.0330409169495,"e3db76095b3347f2179b79f613354bb7","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF","NC_017627_00068","MPF_F","NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_014615_00033,NC_008460_00107,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0325113,"Escherichia coli O26:H11 str. 11368","AA329","-","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_HRF_mobsuite","HRF","Hybrid","Rapid","Filtered","Pilon","AB443",1,5569,46.7947566888131,"172dd7594e0aa9cf025c097822a587c2","rep_cluster_2350","CP041342_00001","MOBP","NC_022662_00003","-","-","MOBP","MF083142","mobilizable","CP035351",0.000830728,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_HRF_mobsuite","HRF","Hybrid","Rapid","Filtered","Pilon","AC748",1,2089,47.1996170416467,"f9f449f47ae5951de64a47c1d26a698b","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.000483446,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_HRUF_mobsuite","HRUF","Hybrid","Rapid","Unfiltered","Pilon","AC748",1,2089,47.1996170416467,"f9f449f47ae5951de64a47c1d26a698b","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.000483446,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
